artist,endtime,starttime,timezone
Mega Ran,17:00:00,14:00:00,America/Los_Angeles
Ivan Neville,17:30:00,17:00:00,America/New_York
Terri Hendrix,20:00:00,19:30:00,America/New_York
Bruce Molsky,18:00:00,17:00:00,America/Los_Angeles
Kristin Diable,22:30:00,21:00:00,America/Chicago
Michael Franti,--------,01:00:00,America/New_York
Della Mae,10:00:00,09:30:00,America/New_York
Siobhan Miller,13:05:00,12:35:00,America/Los_Angeles
Lauren Akins,--------,15:00:00,America/Chicago
Sauce Boss,21:00:00,20:00:00,America/New_York
Della Mae,20:30:00,20:00:00,America/New_York
The Band of Heathens,21:30:00,19:30:00,America/Chicago
Larry Fleet,20:00:00,18:00:00,America/Chicago
Taylor Hawkins,--------,21:00:00,America/New_York
The Suitcase Junket,--------,20:00:00,Europe/London
Sautisol,22:00:00,21:00:00,Africa/Nairobi
JVNA,--------,12:00:00,America/Los_Angeles
Lorna Luft Official,--------,20:00:00,America/New_York
Jim Byrnes,--------,19:00:00,America/Vancouver
Jackie Venson,23:30:00,21:30:00,America/Chicago
Emma Stevens,--------,18:30:00,Europe/London
The Boom Booms,20:30:00,18:30:00,America/Vancouver
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Brandy Clark,--------,18:00:00,America/Chicago
Erin McKeown,22:30:00,20:00:00,America/New_York
Bowling for Soup,17:30:00,16:00:00,America/Chicago
The Empty Pockets,20:30:00,18:30:00,America/Chicago
The Mammals,21:00:00,18:00:00,America/New_York
T Sisters,--------,19:00:00,America/Los_Angeles
Bruce Molsky,--------,19:00:00,America/New_York
Say Hi to Your Mom,--------,18:00:00,America/Los_Angeles
Ceschi,--------,12:00:00,America/Detroit
Samantha Fish,--------,21:00:00,America/New_York
Wendy Colonna,20:00:00,19:00:00,America/Chicago
Hollis Brown,--------,21:00:00,America/New_York
Emily Portman,16:00:00,15:00:00,Europe/London
Miss Tess,21:30:00,19:30:00,America/New_York
Megan Jean & The Klay Family Band,23:30:00,20:00:00,America/New_York
Dex Romweber,20:00:00,19:00:00,America/New_York
Saxsquatch,--------,19:00:00,America/New_York
Rose Polenzani,--------,20:00:00,America/New_York
Casey Neill and the Norway Rats,19:30:00,18:00:00,America/Los_Angeles
ROZES,19:00:00,18:00:00,America/New_York
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Caoilfhionn Rose,--------,19:00:00,Europe/London
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Scandal,--------,11:00:00,Europe/London
Texicana Mamas,--------,09:00:00,America/Chicago
Martyn Joseph,--------,20:00:00,Europe/London
Amythyst Kiah,19:30:00,19:00:00,America/New_York
Edie Carey,--------,20:00:00,America/New_York
Ro James,--------,19:00:00,America/New_York
Cub Sport,--------,10:00:00,America/New_York
Ginny Mac,--------,12:00:00,America/Chicago
The Band of Heathens,21:30:00,19:30:00,America/Chicago
Dash Berlin,--------,20:00:00,Europe/Amsterdam
rura,--------,09:00:00,Europe/London
Cynthia Lin,16:00:00,15:00:00,America/Los_Angeles
James Maddock,18:30:00,17:00:00,America/New_York
The Band of Heathens,21:30:00,19:30:00,America/Chicago
Tony Lucca,21:30:00,20:00:00,America/Chicago
Didirri,21:30:00,20:30:00,America/Toronto
Plain White T's,--------,19:00:00,America/Chicago
Greensky Bluegrass,--------,20:00:00,America/Chicago
Southern Halo,19:30:00,16:00:00,America/Chicago
Kris Drever,--------,20:00:00,Europe/London
Alanna Royale,23:00:00,11:00:00,America/New_York
Derek Warfield & The Young Wolfe Tones,22:00:00,19:00:00,Europe/Dublin
AHI,19:30:00,19:00:00,America/New_York
Fat Joe,--------,20:00:00,America/New_York
Meg Donnelly,--------,17:30:00,America/Los_Angeles
National Park Radio,--------,20:00:00,America/Chicago
Baby Rose,--------,20:00:00,Europe/London
The Wrecks,--------,19:00:00,America/Los_Angeles
Korby Lenker,--------,12:00:00,America/Chicago
David Harness,13:00:00,11:00:00,America/Los_Angeles
the Small Glories,14:40:00,14:10:00,America/New_York
Matt Nakoa,20:40:00,20:10:00,America/New_York
Dash Berlin,--------,20:00:00,Europe/Amsterdam
Dos Santos,21:00:00,20:00:00,America/Chicago
April Kry,16:00:00,15:00:00,America/Chicago
Chicago Farmer,20:30:00,19:00:00,America/Chicago
Ruthie Collins,--------,18:00:00,America/Chicago
John Papa Gros,--------,20:00:00,America/Chicago
Peter Mulvey,--------,20:00:00,Europe/London
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Ted Yoder,21:00:00,20:00:00,America/Indiana/Indianapolis
Dog Trumpet,21:30:00,19:00:00,Australia/Sydney
LOS DANIELS,--------,20:30:00,America/Mexico_City
Rod and The Facez,22:00:00,20:00:00,Europe/London
The Velveteers,--------,18:00:00,America/Denver
Bruce Molsky,19:00:00,18:00:00,America/Denver
"Sharon, Lois & Bram",--------,19:00:00,America/Toronto
Louise Goffin,--------,19:00:00,America/New_York
John Proulx,19:00:00,18:00:00,America/Los_Angeles
Tank and the Bangas,--------,21:00:00,America/New_York
SONiA disappear fear,21:00:00,20:00:00,America/New_York
Steve Knightley,--------,20:00:00,Europe/London
Little Boots,--------,17:00:00,Europe/London
Phil Beer,--------,20:00:00,Europe/London
Kris Drever,--------,20:00:00,Europe/London
Gordie Sampson,22:00:00,20:00:00,America/Halifax
TEOA,--------,19:30:00,America/New_York
